Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Touches, Tkl, Int, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP, 1/3,PPA,CrsPA,PrgP,Match URL
1/21/24,La Liga,Almeria,Kepa Arrizabalaga,25,es ESP,GK,29-110,90,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,29,31,93.5,0,18,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,29,31,93.5,521,400,16,16,100,11,11,100,2,4,50,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/044f7144/Real-Madrid-Almeria-January-21-2024-La-Liga
1/27/24,La Liga,Las Palmas,Vinicius Júnior,7,br BRA,"FW,LW",23-199,89,1,0,0,0,7,2,0,0,43,0,0,2,0.9,0.9,0,4,1,16,24,66.7,2,34,4,7,3,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,16,24,66.7,272,58,10,13,76.9,1,2,50,3,5,60,0,0,0,0,2,0,0,2,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Ferland Mendy,23,fr FRA,LB,28-233,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,4,100,62,43,2,2,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Rodrygo,11,br BRA,"FW,RW",23-018,80,0,0,0,0,1,1,1,0,35,1,0,2,0.7,0.7,0.4,3,0,25,28,89.3,2,20,3,3,0,1,1,0,1,0,0,2,0,2,2,0,2,0,1,0,0,25,28,89.3,372,44,19,19,100,3,5,60,3,3,100,0,0.4,0.3,2,0,1,1,2,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Arda Güler,24,tr TUR,RW,18-336,10,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,5,6,83.3,1,4,0,0,0,2,2,1,1,0,2,2,100,0,0,0,0,0,2,0,0,5,6,83.3,97,23,2,2,100,2,3,66.7,1,1,100,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Brahim Díaz,21,ma MAR,AM,24-177,58,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,12,12,100,0,11,1,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,12,12,100,162,26,5,5,100,3,3,100,1,1,100,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Joselu,14,es ESP,FW,33-306,32,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,9,66.7,1,4,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,6,9,66.7,70,16,4,4,100,2,2,100,0,2,0,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Toni Kroos,8,de GER,LM,34-023,90,0,1,0,0,1,1,0,0,103,2,0,0,0,0,0.7,6,2,94,101,93.1,17,48,0,1,1,2,2,0,2,0,0,1,0,1,0,0,0,0,2,0,0,94,101,93.1,2054,823,35,37,94.6,38,39,97.4,21,25,84,1,0.7,0.5,4,19,3,0,17,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Eduardo Camavinga,12,fr FRA,CM,21-078,80,0,1,0,0,0,0,0,0,46,5,0,2,0,0,0.2,3,1,33,35,94.3,5,33,3,4,1,5,2,2,3,0,2,2,100,0,2,0,2,0,5,0,0,33,35,94.3,582,123,13,13,100,16,16,100,3,3,100,1,0.2,0.1,1,3,2,0,5,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Aurélien Tchouaméni,18,fr FRA,CM,24-000,10,1,0,0,0,1,1,1,0,7,0,0,0,0.1,0.1,0,0,0,5,5,100,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5,5,100,63,2,3,3,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Dani Ceballos,19,es ESP,RM,27-173,58,0,0,0,0,0,0,0,0,38,1,0,2,0,0,0.7,3,0,24,31,77.4,4,26,1,3,1,1,1,1,0,0,1,2,50,1,2,0,2,0,1,0,0,24,31,77.4,373,104,13,16,81.3,8,10,80,2,2,100,0,0.7,0.3,1,3,1,0,4,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Federico Valverde,15,uy URU,RM,25-189,32,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,1,0,14,21,66.7,2,12,0,0,0,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,14,21,66.7,171,35,10,11,90.9,4,6,66.7,0,3,0,0,0,0,0,1,1,0,2,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Fran Garcia,20,es ESP,"LB,LW",24-166,90,0,0,0,0,0,0,0,0,74,2,1,1,0,0,0.2,3,0,53,66,80.3,11,39,2,0,0,2,2,0,1,1,0,2,0,2,1,0,1,1,3,1,0,53,66,80.3,838,226,31,34,91.2,16,21,76.2,5,7,71.4,0,0.2,0.1,3,4,3,1,11,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Nacho,6,es ESP,CB,34-009,90,0,0,0,0,0,0,0,0,55,0,3,0,0,0,0.1,1,0,48,50,96,2,26,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,1,0,48,50,96,724,355,29,29,100,14,14,100,3,5,60,0,0.1,0.3,1,2,0,0,2,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Antonio Rüdiger,22,de GER,CB,30-330,90,0,0,0,0,2,0,0,0,59,2,1,1,0.5,0.5,0,1,0,47,52,90.4,1,39,1,0,0,2,1,1,1,0,2,3,66.7,1,1,1,0,1,3,3,0,47,52,90.4,929,367,16,16,100,26,27,96.3,5,9,55.6,0,0,0,0,6,0,0,1,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Dani Carvajal,2,es ESP,RB,32-016,90,0,0,0,0,1,0,0,0,46,3,0,1,0.1,0.1,0,0,0,35,40,87.5,0,23,1,0,0,3,2,1,2,0,1,3,33.3,2,1,0,1,0,3,0,0,35,40,87.5,576,123,17,19,89.5,16,17,94.1,2,3,66.7,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
1/27/24,La Liga,Las Palmas,Andriy Lunin,13,ua UKR,GK,24-350,90,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,35,37,94.6,0,18,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35,37,94.6,680,472,10,10,100,22,22,100,3,5,60,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b61e3e2f/Las-Palmas-Real-Madrid-January-27-2024-La-Liga
2/1/24,La Liga,Getafe,Vinicius Júnior,7,br BRA,FW,23-204,74,0,1,0,0,3,3,0,0,37,2,0,2,0.8,0.8,0.1,1,1,20,21,95.2,4,25,6,5,1,2,1,0,2,0,0,0,,0,2,0,2,0,2,1,0,20,21,95.2,424,72,8,8,100,7,8,87.5,4,4,100,1,0.1,0.2,1,1,0,0,4,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Rodrygo,11,br BRA,FW,23-023,16,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0,2,0,9,11,81.8,1,8,4,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,11,81.8,81,21,7,8,87.5,1,2,50,0,0,,0,0,0.1,0,0,1,0,1,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Joselu,14,es ESP,FW,33-311,87,2,0,0,0,6,3,0,0,24,0,2,1,0.8,0.8,0.2,3,0,12,15,80,1,12,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,12,15,80,145,37,7,8,87.5,3,4,75,0,0,,0,0.2,0.2,1,0,0,0,1,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Brahim Díaz,21,ma MAR,FW,24-182,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,100,5,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Luka Modrić,10,hr CRO,AM,38-145,90,0,0,0,0,1,1,0,0,89,0,1,1,0,0,0.1,4,0,64,78,82.1,4,52,2,3,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,64,78,82.1,1050,411,31,32,96.9,21,25,84,8,13,61.5,0,0.1,0.2,2,3,1,0,4,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Jude Bellingham,5,eng ENG,LM,20-217,87,0,0,0,0,2,1,0,0,69,2,2,2,0.2,0.2,0.6,7,0,53,56,94.6,5,43,4,3,1,2,2,0,2,0,2,3,66.7,1,2,0,2,2,4,1,0,53,56,94.6,765,131,30,30,100,19,20,95,1,2,50,0,0.6,0,3,2,1,0,5,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Dani Carvajal,2,es ESP,LM,32-021,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,100,12,9,1,1,100,0,0,,0,0,,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Aurélien Tchouaméni,18,fr FRA,"CB,CM",24-005,90,0,0,0,0,0,0,1,0,82,2,3,0,0,0,0,0,0,62,71,87.3,3,43,0,0,0,2,2,2,0,0,1,2,50,1,0,0,0,3,5,6,0,62,71,87.3,877,303,36,38,94.7,24,26,92.3,0,3,0,0,0,0,0,3,1,0,3,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Federico Valverde,15,uy URU,RM,25-194,90,0,0,0,0,2,0,0,0,69,1,3,4,0.1,0.1,0.1,6,1,51,59,86.4,9,37,4,0,0,1,0,0,1,0,0,1,0,1,4,0,4,3,4,0,0,51,59,86.4,714,206,29,30,96.7,14,17,82.4,3,5,60,0,0.1,0.1,2,5,2,1,9,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Ferland Mendy,23,fr FRA,LB,28-238,90,0,0,0,0,0,0,1,0,67,2,2,0,0,0,0,1,1,54,59,91.5,2,38,3,2,2,2,2,1,1,0,1,1,100,0,0,0,0,2,4,1,0,54,59,91.5,762,186,33,34,97.1,16,16,100,2,4,50,0,0,0,0,2,0,0,2,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Nacho,6,es ESP,CB,34-014,90,0,0,0,0,0,0,0,0,76,1,0,1,0,0,0.2,1,0,64,74,86.5,0,40,0,0,0,1,1,1,0,0,0,0,,0,1,0,1,0,1,3,0,64,74,86.5,1119,439,31,32,96.9,25,27,92.6,6,12,50,0,0.2,0,1,4,0,0,0,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Antonio Rüdiger,22,de GER,CB,30-335,45,0,0,0,0,0,0,0,0,41,1,1,0,0,0,0,0,0,35,38,92.1,0,26,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,1,2,0,0,35,38,92.1,530,155,17,17,100,18,19,94.7,0,2,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Eduardo Camavinga,12,fr FRA,CM,21-083,45,0,0,0,0,1,1,0,0,32,0,2,1,0,0,0,1,0,22,24,91.7,1,15,1,0,0,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,1,22,24,91.7,371,67,9,10,90,8,8,100,3,3,100,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Lucas Vázquez,17,es ESP,RB,32-215,90,0,1,0,0,0,0,0,0,82,1,0,0,0,0,0.6,5,1,66,77,85.7,3,48,1,2,1,1,1,0,1,0,1,1,100,0,0,0,0,0,1,1,0,66,77,85.7,1039,455,30,31,96.8,21,23,91.3,7,12,58.3,1,0.6,0.5,4,1,2,2,3,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/1/24,La Liga,Getafe,Andriy Lunin,13,ua UKR,GK,24-355,90,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,35,43,81.4,0,26,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35,43,81.4,775,402,9,9,100,17,17,100,8,16,50,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/92a1197f/Getafe-Real-Madrid-February-1-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Rodrygo,11,br BRA,FW,23-026,75,0,0,0,0,4,1,0,0,44,0,0,1,0.3,0.3,0,2,0,33,34,97.1,2,22,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,33,34,97.1,389,36,23,24,95.8,9,9,100,0,0,,0,0,0.1,0,0,2,0,2,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Luka Modrić,10,hr CRO,AM,38-148,15,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,18,20,90,3,10,1,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,20,90,284,46,13,14,92.9,3,3,100,2,3,66.7,0,0,0,0,1,0,0,3,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Brahim Díaz,21,ma MAR,FW,24-185,70,1,0,0,0,3,2,0,0,53,3,0,1,0.9,0.9,0.2,5,1,33,40,82.5,6,29,2,7,4,3,2,0,1,2,0,0,,0,1,0,1,0,3,0,0,33,40,82.5,391,119,26,27,96.3,7,10,70,0,0,,0,0.2,0.3,3,1,5,1,6,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Joselu,14,es ESP,FW,33-314,20,0,0,0,0,2,0,0,0,18,0,0,1,0.2,0.2,0,0,0,9,9,100,0,9,0,2,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,9,9,100,132,20,7,7,100,2,2,100,0,0,,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Jude Bellingham,5,eng ENG,"AM,FW",20-220,87,0,0,0,0,3,0,0,0,71,2,0,1,0.1,0.1,0.3,6,0,50,55,90.9,5,37,3,6,3,2,2,2,0,0,0,1,0,1,1,0,1,0,2,0,0,50,55,90.9,759,113,29,33,87.9,16,17,94.1,3,3,100,0,0.3,0.1,4,5,2,0,5,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Dani Ceballos,19,es ESP,FW,27-181,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,100,15,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Eduardo Camavinga,12,fr FRA,LM,21-086,90,0,0,0,0,1,0,0,0,85,0,0,1,0,0,0,3,0,65,70,92.9,4,39,3,7,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,65,70,92.9,1076,252,35,38,92.1,23,24,95.8,6,7,85.7,0,0,0.1,1,10,1,0,4,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Toni Kroos,8,de GER,CM,34-031,90,0,0,0,0,2,1,0,0,116,4,0,2,0.1,0.1,0.1,4,0,98,105,93.3,13,49,1,0,0,4,4,1,2,1,0,1,0,1,2,1,1,0,4,1,0,98,105,93.3,1938,755,44,44,100,32,35,91.4,20,22,90.9,0,0.1,0.2,3,21,0,0,13,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Federico Valverde,15,uy URU,RM,25-197,90,0,0,0,0,1,0,0,0,77,2,1,3,0.1,0.1,0.4,5,0,62,67,92.5,10,37,5,0,0,2,1,2,0,0,1,1,100,0,3,0,3,1,3,0,0,62,67,92.5,969,220,32,32,100,27,29,93.1,2,4,50,0,0.4,0.2,2,12,2,1,10,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Ferland Mendy,23,fr FRA,LB,28-241,90,0,0,0,0,0,0,0,0,73,3,1,1,0,0,0,2,0,60,65,92.3,1,28,1,3,3,3,1,3,0,0,1,1,100,0,1,0,1,1,4,3,1,60,65,92.3,876,279,33,35,94.3,23,25,92,2,2,100,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Nacho,6,es ESP,CB,34-017,90,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,58,61,95.1,2,29,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,0,58,61,95.1,927,411,31,31,100,25,25,100,2,5,40,0,0,0,0,4,0,0,2,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Dani Carvajal,2,es ESP,CB,32-024,90,0,0,0,0,0,0,0,0,64,3,0,1,0,0,0,0,0,54,56,96.4,3,28,0,0,0,3,2,3,0,0,0,1,0,1,1,1,0,0,3,4,0,54,56,96.4,949,308,23,23,100,30,32,93.8,1,1,100,0,0,0,0,4,0,0,3,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Lucas Vázquez,17,es ESP,RB,32-218,90,0,0,0,0,1,0,0,0,99,2,1,1,0.1,0.1,0,3,0,75,82,91.5,2,41,1,5,2,2,2,1,1,0,1,2,50,1,1,0,1,1,3,5,0,75,82,91.5,1032,252,49,51,96.1,23,25,92,2,4,50,0,0,0,1,4,0,0,2,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/4/24,La Liga,Atletico Madrid,Andriy Lunin,13,ua UKR,GK,24-358,90,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,25,28,89.3,0,9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,28,89.3,584,443,6,6,100,14,15,93.3,5,7,71.4,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/199f13ef/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-February-4-2024-La-Liga
2/10/24,La Liga,Girona,Vinicius Júnior,7,br BRA,FW,23-213,76,1,2,0,0,4,2,0,0,49,1,0,1,0.2,0.2,0.9,5,3,31,34,91.2,3,29,4,9,5,1,0,1,0,0,1,1,100,0,1,0,1,0,1,0,0,31,34,91.2,420,92,25,26,96.2,1,2,50,4,5,80,2,0.9,0.1,3,2,1,0,3,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Arda Güler,24,tr TUR,FW,18-350,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,8,8,100,0,5,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,8,100,108,4,5,5,100,3,3,100,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Rodrygo,11,br BRA,FW,23-032,69,1,0,0,0,2,1,0,0,37,0,0,0,0.3,0.3,0,2,0,27,29,93.1,2,25,4,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,27,29,93.1,296,54,20,22,90.9,4,4,100,0,0,,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Joselu,14,es ESP,FW,33-320,21,0,0,0,1,1,0,0,0,5,0,0,0,0.9,0.1,0,0,0,3,3,100,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,3,100,36,0,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Jude Bellingham,5,eng ENG,AM,20-226,56,2,0,0,0,4,2,0,0,43,1,1,0,1.7,1.7,0.1,3,2,33,35,94.3,6,25,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,33,35,94.3,556,122,22,24,91.7,5,5,100,5,5,100,0,0.1,0,1,4,1,0,6,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Brahim Díaz,21,ma MAR,AM,24-191,34,0,0,0,0,1,0,0,0,21,0,0,1,0.1,0.1,0,1,0,15,17,88.2,1,12,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,15,17,88.2,191,35,11,13,84.6,4,4,100,0,0,,0,0,0,1,0,1,0,1,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Eduardo Camavinga,12,fr FRA,LM,21-092,90,0,0,0,0,0,0,0,0,59,0,2,1,0,0,0.1,1,0,46,51,90.2,4,34,5,2,1,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0,46,51,90.2,803,261,23,24,95.8,21,23,91.3,2,2,100,0,0.1,0,1,1,1,0,4,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Toni Kroos,8,de GER,CM,34-037,69,0,0,0,0,0,0,0,0,67,2,0,0,0,0,0,3,0,64,65,98.5,7,41,0,1,1,2,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,64,65,98.5,1419,528,28,28,100,17,17,100,18,18,100,0,0,0.1,1,19,4,2,7,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Luka Modrić,10,hr CRO,CM,38-154,21,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,0,22,23,95.7,1,17,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,1,2,0,0,22,23,95.7,366,172,11,12,91.7,7,7,100,3,3,100,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Federico Valverde,15,uy URU,RM,25-203,90,0,1,0,0,1,1,0,0,72,0,0,1,0,0,0.1,4,1,65,66,98.5,9,38,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,65,66,98.5,974,251,38,38,100,21,21,100,4,5,80,1,0.1,0,2,4,0,0,9,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Ferland Mendy,23,fr FRA,LB,28-247,76,0,0,0,0,0,0,1,0,52,0,0,0,0,0,0,0,0,42,46,91.3,3,32,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,42,46,91.3,632,192,23,25,92,13,15,86.7,4,4,100,0,0,0,0,3,0,0,3,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Fran Garcia,20,es ESP,LB,24-180,14,0,0,0,0,1,0,0,0,12,0,0,1,0,0,0,1,0,8,9,88.9,0,6,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,8,9,88.9,123,42,5,5,100,3,4,75,0,0,,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
2/10/24,La Liga,Girona,Dani Carvajal,2,es ESP,CB,32-030,90,0,0,0,0,1,0,0,0,63,2,0,2,0,0,0,1,0,50,55,90.9,2,38,0,0,0,2,2,2,0,0,0,0,,0,2,2,0,0,2,3,1,50,55,90.9,1007,361,16,19,84.2,28,30,93.3,6,6,100,0,0,0,0,2,0,0,2,https://fbref.com/en/matches/501f00a9/Real-Madrid-Girona-February-10-2024-La-Liga
